abarty epeý
arıt ýukel
arka syrt
arkadaş dost
arkadaş ýoldaş
arkadaşlık dostluk
arkeoloji arheolog
arkeolojik arheologik
armoni razylyk
armut armyt
aroma ys
aromatik hoşboý
arpa arpa
arşiv arhiw
artar damar
artı plýus
artık ýuwundy
as as
asfalt asfalt
asıl esasy
asi gozgalaňçy
asil asylly
asit kislota
asker esger
askeri harby
askerileştir harbylaşdyr
aslan arslan
astar ýagyrniçlik
astım demgysma
astronom astronom
astronomi astronomiýa
astronot komonawt
aşağı aşak
aşama sahna
aşamalı progressiw
aşı waktsina
aşındır kert
aşınma dyrnaçak
aşırı gyraky
aşırı üstaşyr
at at
at taý
ata ata
atardamar damar
atasözü nakyl
ateş ataş
atıcı atyjy
atik çalasyn
atlama propusk
atletizm atletika
atmosfer atmosfera
atolye ussahana
atom atom
avantaj bähbit
avare segezdan
avcı awçy
avize lýstra
avlu howly
avuç gysym
avukat aklawçy
ay aý
ayçiçeği günebakar
aydınlat anyklyk
aydınlat ýagtylt
aygıt esbap
ayık aňly
ayıp biabraý
ayır aýyr
ayır tapawutlandyr
ayıran parhly
aylık aýlyk
aynen deň
ayva beýi
az az
az sähel
azal azal
azal kemel
azalt azalt
azalt egis
azalt seýrekle
azarla käýe
azim erjellik
azimli töwekgel
azot azot
baca truba
bacak aýak
bag bag
bagaj bagaj
bağımlı bagly
bağımlılık garaşlylyk
bağımsız garaşsyz
bağımsızlık garaşsyzlyk
bağıntı gatnaşyk
bağır çygyr
bağırsak içege
bağışla bagyşla
bağla bagla
bağla dola
bağlantı aragatnaşyk
bağlantı baglanyşyk
bağlılık garaşlylyk
bağlılık wepalylyk
bağnaz yhlasly
baharatlı ajy
bak bak
bak seret
bakan ministr
bakanlık ministrlik
bakım saklaýyş
bakır mis
bakkaliye bakaleýa
bakteri bakteria
bal bal
balçıklı balykçy
bale balet
balina kit
balistik ballistik
balkabağı kädi
balkon balkon
balon balon
balta palta
bandaj sarag
banka bank
bant zolak
bar bar
barbarlık gerbariý
barış oňşuk
barıştır ýaraşdyr
bariyer barýer
barsak içege
basınç basyş
basit elementar
basit sada
basitleştir ýeňilleşdir
basitlik sadalyk
baskı sütem
başar başar
başarı üstünlik
başarılı rowaç
başarısız netijesiz
başarısızlık şowsuzlyk
başka başga
başkan prezident
başkası keseki
başla başla
başlangıç bosaga
başlangıç ilkinji
başlangıç tutnak
başlangıçta ilkibada
başlat başlat
başlıca ilkinji
başlık sözbaşy
bataklık süýgeşiklik
batarya batareýa
batı günbatar
batıl şöhratparazlyk
battaniye odeýal
bavul çemedan
bayat gaty
baygın beýhuş
baykuş baýguş
bayrak baýdak
bazen käte
bazen kätewagt
bazı käbir
bebek bäbek
becerikli ýüwrük
beceriklilik çakganlyk
beceriksiz emelsiz
beceriksiz kelesaň
beceriksiz nalajedeýin
beceriksizlik emelsizlik
becerili türgen
bedava mugt
bekar sallah
bekçi sakçy
bekle garaş
bekle osla
beklenmeyen oslagsyz
beklenti hantama
bel bil
belge dokument
belge şahadatnama
belir döre
belirgin ähmiýetli
belirle seljer
belirleme aýgyt
belirlilik aýratynlyk
belirsiz ikigöwünli
belirsiz ýaşyryn
belirt takykla
belirteç ahwalet
belirti alamat
belki belki
bellek hakyda
bellek zapas
ben men
benek menek
benek nokat
benze meňze
benzer meňzeş
benzerlik meňzeşlik
benzet meňzet
benzetme meňzetme
benzin benzin
berber dellek
bereket bereket
bereketli bereketli
bereketli hasylly
beri bäri
berlikte bile
besle iýmitlendir
besle naharla
beslenme iýmit
besteci kompozitor
beş bäş
beyaz ak
beyazlat akla
beyin beýni
bıçak pyçak
bırak goýber
bıyık murt
biber burç
biberli burçly
biç or
biçare pahyr
biçim usul
biçimle redaktirle
biçimsel formal
biçimsiz şekilsiz
biçimsizlik şumroýluk
biftek çylka
bil bil
bildir bildir
bildiri maglumat
bildirme habardar
bile hem
bilek goşar
bileşen goşulyjy
bileşik goşma
bileşik kompleksleýin
bileşim düzme
bileştir taýyarla
bilet bilet
bilezik bilezik
bilgi bilim
bilgi informasiýa
bilgili bilimli
bilgisiz jahyl
bilgisizlik nadanlyk
bilim ylym
bilimsel tehniki
bilimsel ylmy
bilinç müýn
bilinçlilik müýn
bilinçsizlik ynsapsyzlyk
bilinmeyen näbelet
bilye şar
bin mün
bin müň
bir bir
bira piwa
biraz biraz
biraz birhili
birçok birtopar
birdenbire birdenka
birey agza
birikinti goýum
biriktir üýşür
biriktir ýygnan
birim birlik
birkaç birnäçe
birleş birleş
birleşme birleşme
birleştir birleşdir
birleştir sepişk
birlik bileleşik
birlik birlik
birlikte bile
bisiklet welosiped
bisküvi köke
bit bit
bitki bitgi
bitkisel botaniki
biyografi biografiýa
biyoloji biologiýa
biz biz
blok blok
bobin tigir
bodrum ýerzemin
boğ bog
boğa öküz
boğaz bokyrdak
boğma bogma
boğul bogul
bok bok
boksör boksçy
bolluk bereket
boraks tenekar
borçlu bergidar
boru şlanga
boru turba
boş boş
boş howaýy
boşal boşal
boşalt boşalt
boşluk boşluk
boşuna biderek
botanik botanika
boylam meridian
boynuz şah
boyun boýun
boyunca boýunça
boyut ölçeg
boz boz
boz syndyr
bozkır sähra
bozma bozma
bozul  ýaramazlaş
bozulmamış abat
böbrek böwrek
böcek möjek
böğür mola
böğürtlen böwürslen
böl böl
bölge  raýon
bölge uçastok
bölge zona
bölüm bap
bölüm bölüm
böyle beýle
böylece  şumlukda
bu bu
budala körlük
buğday bugdaý
buharlaş bugar
buharlaştır bugart
bul tap
bulaşıcı ýokanç
buldozer buldozer
bulmaca matal
buluş tapyndy
bulut bulut
bulutlu bulutly
bulvar prospekt
burada bärde
burun burun
buruş çürüş
buruştur tokgala
buz buz
buzağı tüwe
buzağıla botla
buzdolabı holodilnik
bük bük
büküm infleksiýon
bülbül bilbil
büro býuro
bütün bitin
bütün bütin
bütünlük bütinlik
büyü jady
büyü ösme
büyü ulal
büyücü jadygöý
büyük  ullakan
büyük äpet
büyük beýik
büyükanne ene
büyükbaba ata
büyükelçi ilçi
büyüme giňleme
büyüme ösüş
büyüt ulalt
cadde köçe
cahil jahyl
cam çüýşe
cami metjit
can jan
canavar gorkunç
canavar ýyrtyjy
canlı diri
canlı janly
cansız jansyz
caydır jaýdyr
cehalet nadanlyk
cehalet sowatsyzlyk
cehennem dowzah
ceket penjek
cep jübi
cephane zarýadi
cerrah hirurg
cerrahi hirurgik
cesaret  ýüreklilik
cesaret batyrlyk
cesaretle merdana
cesaretlendir höweslendir
ceset läş
ceset maslyk
ceset meýit
cesur batyr
cesur dözümli
cesur ýürekli
cesurca mertçe
cetvel çyzgyç
ceviz hoz
ceviz hoz
ceylan keýik
ceza jeza
ceza temmi
cezalandır jezalandyr
cılız çepiksi
cıva simap
cızırda jyzyrda
ciddi ymykly
ciddiyet sersaglyk
cilt tom
cilveli näzli
cins urug
cinsiyet jynsyýet
civa simap
civar töwerek
coğrafya geografiýa
coğrafyacı geograf
coşkun şowhun
cömert jomart
cömertlik jomartlyk
cuma anna
cumartesi şembe
cumhuriyet respublika
cumhuriyetçi respublikan
çaba tagalla
çabala emge
çabuk çalt
çabuk tiz
çadır çadyr
çadır kabina
çağ era
çağdaş döwürdeş
çağdaş häzirki
çağır çagyr
çak çak
çakal şagal
çakıl çakyl
çakış çakyş
çal ogurla
çal tiňňirde
çalılık lödere
çalışkan işleňňir
çalışkan janypkeş
çalışma operasiýa
çalıştır işlet
çalkala çaýkala
çalkalanma çaýkalanma
çamur kir
çamur laý
çanak tabak
çanta portfel
çapık çapyk
çarp çaknyş
çarp köpelt
çarpış çakyş
çarpışma çaknyşyk
çarpıt çaýşart
çarşaf pastel
çarşamba çarşenbe
çarşı bazar
çatırda çatyrda
çatlak çat
çatlak jaýryk
çavdar çowdary
çavuş seržant
çay çaý
çek çek
çekici görnükli
çekingen utanjaň
çekingen ýygra
çekingenlik ýygralyk
çekirdek çigit
çekirdek özen
çekirge çekirtge
çekmece çeker
çelik polat
çelimsiz göýduk
çelişkili garşy
çene eňek
çerçeve sudur
çeşit sort
çeşit wariant
çeşitli dürli
çeşitli gatyşyk
çeşitli telim
çeşme fontan
çevik çalasyn
çeviklik çalasynlyk
çevir çöwür
çevir sow
çeviri terjime
çevirmen terjimeçi
çevre töwerek
çığlık haýkylyk
çık çyk
çıkar çykar
çıkma  çykma
çılgın  däli
çınlama  jyňňyrdy
çıplak  ýalanaç
çırak  öwrenje
çırak  şägirt
çıraklık şägirtlik
çift jübüt
çiftçi daýhan
çiğ çygly
çiğne çeýne
çikolata şokolad
çil sepgil
çile çile
çimen ot
çimento sement
çin farfor
çinko sink
çirkin bedroý
çirkin gelşiksiz
çirkin nejis
çirkinlik şumroýluk
çiz çyz
çizgi çyzyk
çoban çopan
çocuk çaga
çocukluk çagalyk
çok köp
çok örän
çomal çommal
çorak gysyr
çorap jorap
çorba çorba
çök çök
çökelek  ýag
çöküntü çökündi
çöp musur
çörek çörek
çöz çöz
çözüm çözüm
çözünürlük rezolýusiýa
çubuk çybyk
çubuk çybyk
çuçuk  köwek
çukur çukur
çünkü çünki
çürük çüýrük
dağ dag
dağıt pytrat
daire aýlag
daire kwartira
dairesel tegelek
dakik rejeli
dakika minut
dal şaha
daldır çümdür
dalga tolkun
dalgalanma pasyrdyr
dalgıç wodolaz
dalkavuk masgarabaz
dalkavuk ýaranjaň
dalkavukluk ýaranjaňlyk
dallan pudaklan
dallı şahalak
damga tagma
damgala tagmala
damla damja
danış maslahatlaş
danışman maslahatçy
dar dar
darı dary
darılgan öýkelek
davet çakylyk
davranış häsiýet
dayan çyda
dayanıklı çydamly
dayanıklı çydamly
dayanıklı mäkäm
dayanıklılık çydamlylyk
dedektif sülçhi
dedikodu gybat
dedikoducu gybatkeş
defin jaýlama
deformite şumroýluk
defter depder
değer nyrh
değerlendir nyrhla
değersiz biderek
değil däl
değirmen degirmen
değiş çalyş
değişiklik üýtgeşiklik
değiştirme üýtgetme
değnek çybyk
dehşetli elhenç
dekan dekan
deklarasyon arza
dekolman otrýad
delegasyon delegatsiýa
delegelik delegatsiýa
deli däli
deli telbe
delik deşik
delikanlı ýetginjek
delil delil
demet küde
demlik çäýnek
demokrasi demokratsiýa
demokratik demokratik
dene syna
deneme synag
denetçi kontrolýor
denetim inspeksiýa
denetleyici kontrolýor
deneyim  tejribe
deneyimli tejribeli
deneysel eksperiment
dengele deňleşdir
deniz deňiz
denizci matros
depo ambar
depolama saklama
derece dereje
dergi žurnal
derhal derrew
derhal okgunly
deri deri
deri gaýyş
derin çuň
derin çuňňur
derinleştir çuňalt
derinlik çuňluk
derleyici düzüji
ders sapak
desen ülňi
destek kömek
dev döw
deve düýe
devedikeni garamandalak
devir döwür
devrim rewolýusiýa
devrimci rewolýusion
deyim nakyl
dezavantaj gelşiksizlik
dezavantajlı gelşiksiz
dış daş
dış daşary
dış daşky
dışarıda daşky
dışbükey güberçek
dışsal daşary
dışsal daşky
dıştan gaýybana
diğer başga
diğerleri beýleki
dik dik
dik wertikal
diken tiken
dikenli tikenli
dikey dik
dikey wertikal
dikiş tikin
dikkat ätiýaç
dikkat dykgat
dikkat üns
dikkatle seresaply
dikkatli ätiýaçly
dikkatli ätiýaçly
dikkatlice siňe
dikkatsiz biparh
dikkatsizlik geleňsizlik
diktatörlük diktatura
dikte diktant
dil dil
dilbilgisi grammatika
dilbilim filologiýa
dile dile
dilek dileg
dilekçe arza
dilen özelen
dilenci gedaý
dilici çapgy
dilim dilim
dilsiz dilsiz
din din
dinç dynç
dini dini
dinle diňle
dinle diňşirge
dinlen rahatla
dinleyici  diňleýji
dip düýp
diploma  diplom
diplomatik diplomatik
direk göni
direksiyon rul
diril janlan
diriltme galkynys
dirsek tirsek
disiplin disdiplin
disiplinsiz bidüzgün
disk şaýba
dişi urkaçy
dişli serenjam
diyalekt dialekt
diyet diýeta
diz dyz
dizel dizel
dizgici ýygyjy
dizi seriýa
dizin indeks
dizkapağı çanak
doğ dog
doğa tabigat
doğal tebigy
doğan dogan
doğra dogra
doğru dogry
doğrudan dogrydan
doğrult düzet
doğruluk takyklyk
doğu gündogar
doğum dogluş
doksan togsan
doktor doktor
dokun elle
dokunaklı naýynjar
dokuz dokuz
dokuzuncu dokuzynjy
dolandırıcı aldawçy
dolandırıcı kezzap
dolap şkaf
doldur doldur
domates pomidor
domuz doňuz
donakal doňupgal
donanma flot
donat enjamlaşdyr
dondur  doňdur
donmuş doň
dostça agzybir
dostluk dostluk
dosya papka
doyur doýur
döküntü iteşen
döndür döndür
döndür towla
dönem döwür
dönme aýlanma
dönüş öwrüliş
dönüşlü aýlawly
dördüncü dördünji
dört dört
dram drama
drama drama
dua doga
dudak dodak
dul dul
durağan haýal
duraklama togtama
durdur durdur
durdur sakla
durgun ýata
durultucu grafim
durum ýagdaý
dut tut
duyarlı eserdeň
duyarlık takyklyk
duygu duýgy
duygusal duýgur
duygusuz manysyz
duyuru bildiriş
düğme ilik
düğüm çitim
dümen süýpent
dün düýn
dünya dünýä
dünya globys
dünyevi dünýewi
dürbün dürbi
dürüst dogruçyl
dürüst halal
dürüstçe walla
dürüstlük päklik
düş düş
düşman duşman
düşmanlık duşmançylyk
düşük pes
düşün düşün
düşünce pikir
düşür gaçyr
düz düz
düzelme düzeltme
düzelt dikelt
düzelt düzet
düzelt gönelt
düzen düzüm
düzenle saýhallaşdyr
düzenle ugurlaşdyr
düzenle ýygnaşdyr
düzenleyici guramaçy
düzenli regulýar
düzenli tertipli
düzgün düzüwli
düzlem perron
düzleş düzleş
düzleştir düzleşdir
ebediyen mydamalaýyn
ebediyet ebedilik
eczane dermanhana
edat sözsoňy
edebi edebi
edebiyat edebiýat
editör redaktor
efektif netijeli
efsane rowaýat
egemenlik çeperçilik
eğ eg
eğik gyşyk
eğil egil
eğim egim
eğiren egriji
eğit terbiýele
eğitici trener
eğitim magaryf
eğitimci magaryfçy
eğitimsel ylmy
eğitimsiz çalasowat
eğitmen instruktor
eğlence hezillik
eğlendir güýme
eğrilik egrilik
ejderha ajdarha
ek çörek
ek goşmaça
ek goşulma
ekilmemiş boz
ekim oktýabr
ekle goş
eklem uzel
ekleme goşmaça
ekonomi  ykdysadyýet
ekonomi ykdysat
ekonomik tygşytly
eksen ok
eksiklik kemçilik
eksiksiz kemsiz
eksiksiz ymykly
eksternal daşary
ekstra artykmaç
ekşi turşy
elçilik ilçihana
ele ele
element element
eleştiri käýinç
eleştiri tankyt
elli elli
elma alma
elverişli oňaýly
elverişsiz oňaýsyz
elyaf süýüm
em em
emaye syrça
embriyo  şinde
emin arkaýyn
emin ynamly
emir emir
emniyetle aman
emperyalizm imperializm
emzik emzik
emzir emzir
ender seýrek
endişe howatyr
endişe ünji
endişeli rahatsyzlan
endüstri industriýa
endüstriyel industrial
enerji enegiýa
enerjik gujurly
enerjik ýadawsyz
enfeksiyon infeksiýa
engel bökdenç
engel päsgel
engelle büre
enjekte ukol
enstitü institut
entellektüel akyldar
envanter uçýot
erdem moral
ergen ýetginjek
ergenlik ýetginjeklik
eri ere
erik garaly
erişilemez elýeter
erişilmez sarsmaz
erit eret
erkekçe  mert
erken irden
ertele uzaklaşdyr
erupsiyon örgün
esas esas
esas esasy
esasen esasan
esinlen  gunuş
esir muçdak
esir tussag
esir ýesir
eski köne
esnek çeýe
esneklik çeýelik
esrarlı syrly
estetik estetika
eş sinonim
eş ýar
eşarp şarf
eşek eşek
eşik işik
eşitlik deňlik
eşitsizlik deňsizlik
eşsiz taýsyz
eşya goş
eşya haryt
et et
etki effekt
etki täsir
etkile degir
etkileyici täsirli
etkili täsirli
etkililik netijelilik
etkin aktiw
etkin başarjaň
etkin netijeli
etkinlik netijelilik
etkisiz netijesiz
etkisiz passiw
etli etli
etüd etýud
ev öý
evet hawa
evlen öýlen
evlilik toý
evre sahna
evren älem
evrensel bütindünýa
eyalet oblast
eylem iş
eylül sentýabr
faaliyet iş
fabrika fabrik
fakir garyp
fakirleştir gedaýlaşdyr
fakülte  fakultýet
fan ýelpe
fare syçan
fark parh
fark tapaw
farket paş
farklı aýry
farzet çakla
fayda peýda
faydasız peýdasyz
fazilet mertebe
federal federatiw
federasyon federasiýa
felaket bela
felaket heläkçilik
felsefe filosofiýa
felsefi filosofik
ferahla rahatla
festival baýram
fıçı çelek
fıkırdak näzli
fırça çotga
fırçala çotgala
fırtına tupan
fidanlık şitilhana
figür syrat
fiil işlik
fikir ideýa
fikir pikir
fil pil
filiz pürçük
fincan käse
firma firma
fişek salýut
fitne bozgaklyk
fiyat baha
fizik fizika
flaş ýylpyldy
fon fon
fonetik fonetik
fonetik fonetika
formasyon nyzam
formulasyon formulirowka
formül formula
formülasyon formulirowka
forum forum
fotoğraf fotografiýa
futbol futbol
futbolcu futbolçy
galaktik galaktika
galip ýeňiji
gamsız gamsyz
gardiyan garagul
gardrop garderob
garip geň
garnizon garnizon
garson ofisian
gayret gaýrat
gaz gaz
gazete gazet
gazeteci žurnalist
gazlı gazly
gazyağı nebit
gebe göwreli
gece gije
geceyarısı ýarygije
geç giç
geçerli  geçýar
geçici wagtlaýyn
geçir syna
geçiş geçiş
geçit derweze
geçit geçelge
geçmiş öň
gel gel
gelecek geljek
gelenek däp
gelin gelin
gelir girdeji
geliş pajala
gelişigüzel tötänden
gelişim ösüş
geliştir kämilleşdir
geliştir owkala
geliştir ösdür
gemici deňizçi
genç ýaş
genç ýetginjek
gençlik juwanlyk
gençlik ýetginjeklik
genel ählumumy
genellikle köplenç
genellikle umuman
geniş giň
genişle giňlet
genişleme giňleme
genişlet giňişlet
genişlik giňlik
genleşme giňleme
geometri geometriýa
ger süýndür
gerçek dogry
gerçek fakt
gerçek hakykat
gerçekçi realistik
gerçekçilik realizm
gerçekten hakykatdan
gerekli gerekli
gerekli hökmany
gerilim  mydar
getir getir
geveze lakgy
gevrek kitirdewük
gevşe gowşa
gevşek gowşak
gevşeklik gowşaklyk
gevşet gowşat
geyik keýik
gez gez
gezegen planeta
gıcık keçje
gıdıkla gyjykla
gırtlak kekirdek
gider çykdajy
gidişat dowam
gir gir
giriş giriş
git git
gitar gitara
giysi eşik
gizem syr
gizle gizle
gizlice gizlin
göç göç
göçebe çarwa
göğüs emjek
göğüs göwüs
gökkuşağı älemgoşar
gökyüzü asman
göl köl
gölge kölege
göm göm
gömlek köýnek
gönder iber
gönüllü meýletin
gör gör
göreceli şertli
görev wezipe
görev ýumuş
görkemli belent
görün görün
görünebilir görnükli
görünüş görnüş
görüş garaýyş
görüş görüş
görüşme gepleşik
gösterge görkezme
gösterişsiz ýönekeý
götür äkit
gövde beden
gövde göwre
gözet seret
gözleme byzmyk
gözlük äýnek
gözyağı nebit
gözyaşı gözýaş
grafik grafa
gram gram
gramer grammatika
grip grip
gururlu gedem
gübre dökün
güç güýç
güçlendir mäkämle
güçlendirme  berkitme
güçleştir kynlaşdyr
güçlü kuwwatly
güçlük kynlyk
güçsüz ejiz
güçsüzlük ysgynsyzlyk
güdük töňňe
gülünç gülkünç
gülünç gülkünç
gülüş gülki
gümrük gümrük
gümüş kümüş
gün gün
günah günä
günbatımı günbatymy
güncel şindiki
gündüz gündiz
güneşli güneşli
güney günorta
günlük gündelik
gürcistanlı gruzin
gürültü  gopgun
gürültü galmagal
gürültülü galmagally
güven ynam
güvenilir ähtibar
güvenilir ynamly
güvercin kepderi
güzel owadan
güzellik gözellik
haber habar
habeşistanlı efiop
hacim göwrüm
hafif ýeňil
hafiflet ýeňlet
hafta hepde
hain haýyn
hainlik haýynlyk
hak hak
haksız ynsapsyz
haksızlık adalatsyzlyk
halef mirasçy
halı haly
halk halk
ham çig
hamile göwreli
hamilik howandarlyk
hamur hamyr
hap tabletka
hapis türme
harca harçla
harcama çykdajy
harçlık sowalga
hardal gorçitsa
hareket amal
hareket hereket
harf harp
harika gowy
hasar zelel
hasatçı kombaýn
hassas duýgur
hasta hassa
hasta keselli
hasta syrkaw
hastalık hassalyk
hastalık syrkawlyk
hastalıklılık ýarawsyzlyk
hastane keselhana
hata ýalňyş
hatalı nädogry
hatalı telek
hatıra ýadygär
hatırla ýatla
hava howa
havan minomýot
havasız kapas
havasızlık petişlik
havuç käşir
havuz howuz
hayal fantaziýa
hayat durmuş
haydut galtaman
hayırsever hoşniýetli
hayırseverlik adamkärçilik
hayran haýran
hayvan haýwan
hayvani wagşylarça
hazır taýýar
hazırla taýyarla
hazırlan taýynlan
hazırlık taýynlyk
hazine hazyna
haziran iýun
hece bogun
hedef nyşana
helikopter wertolýot
hemen badyna
hendek ternaw
henüz entek
henüz heniz
her her
herhangibir islän
herkes hemmeler
herşey hemmezat
hesap hasap
hesapla hasapla
hesaplama rasçýot
heveslen ymtyl
heyecan tolgunyşyk
heyecanlandır tolgundyr
heyecanlı gyzyk
heykel heýkel
heykeltraş skulptor
hırs nebis
hırsız ogry
hırsızlık ogrulyk
hışırtı jazyrdy
hız tizlik
hızlandır çaltlandyr
hızlı çalt
hızlıca okgunly
hiç hiç
hiddet gahar
hidrojen wodorod
hijyen gigiena
hikaye hekaýa
hile hile
hilekar hilegär
hilekarlık şeýtanlyk
hissedar paýçy
hissi duýgur
hizmetçi hyzmatkär
hokey hokkeý
hokkabaz žonglýor
hol karidor
homurdan hüňürde
homurtu takyrdy
hortum şlanga
hoş hoş
hoş ýakymly
hoşgörü  çydamlylyk
hoşgörüsüz çydamsyz
hoşlan hala
hoşnutsuzluk nägilelik
huni guýguç
hurda letde
hücum hüjüm
hükümet hökümet
hüner çakganlyk
hüzün tukatlyk
ılımlı ylymly
ırk halk
ırkçı jynsparaz
ırkçılık jynsparazlyk
ısın yssyla
ısıt ýyla
ısıtma çoý
ısıtma gyzzyrma
ıslak öl
ıspanak ysmanak
ısrarcı erjel
ıstırap ýarawsyzlyk
ışık yşyk
ışın şöhle
ışınır röwşen
ızdırap hasrat
ızgara tor
iç iç
içer ekle
içeride içinde
içerik mazmuny
içinde içinde
içten içden
ideal ideal
ideoloji ideologiýa
ideolojik ideologik
idrar peşew
ifade aňlatma
iftiracı töhmetçi
iğ ig
iğne iňňe
iğrenç elhenç
iğrenç ýigrenji
ihtiyaç hökmany
ihtiyatlı ätiýaçly
iki iki
ikiyüzlülük ikiýüzlü
ikiz ekiz
iktisatçı ydysatçy
ilaç derman
ilan reklama
ilave goşmaça
ile bilen
ilerle ilerle
iletken geçiriji
ilgili dahylly
ilgisiz biparh
ilham ylham
ilim magaryf
ilişki bileleşik
ilişki gatnaşyk
ilk  ilki
ilk ilkinji
ilkin ilkibada
iltihap iriň
imla orfografiýa
imparatorluk imperializm
imza gol
in düş
inan ynan
inanç ynanç
inanış ynam
inatçı keçjal
inatçı kejir
inatçılık keçlik
ince inçe
ince ýuka
incel inçel
incele barla
inceleme derňew
inceleme inspeksiýa
incelik ýukalyk
incelt inçelt
inci dür
incinme agyrma
incit agyrt
incit kesdir
indir düşür
indirge kemelt
indirgeme peseltme
indirim arzanladyş
inek sygyr
ingilizce iňlisçe
iniş eňaşak
inkar inkär
insan ynsan
insanlık adamzat
inşaat gurluşlyk
integral integral
ip ýüp
ipek ýüpek
iri iri
irin iriň
ironi kinaýa
ishal içagyry
isim at
iskele pristan
iskeler isklet
ispanyolca ispan
istasyon stansiýa
iste isle
istekli yhlasly
istemeyerek nalaç
istihkam gala
istirahat dynç
isveçli şwed
isyan topalaň
iş iş
işaret yşarat
işbirliği işbirligi
işbirlikçi kooperatiw
işçi işçi
işit eşit
işle işle
işlet işlet
işlev funksiýa
işsiz işsiz
işsizlik işsizlik
iştah işdä
it it
iyi gowy
iyi oňat
iyileş ganymatlaş
iyilik  gowylyk
izin rugsat
izlenim  täsir
izolasyon izolýasion
jak ştepsel
japon ýapon
japonya ýaponiýa
jeoloji geologiýa
jeton žeton
jilet pyçak
jubile ýubileý
juri žýuri
jübile ýubileý
kaba gödek
kabalık biedeplik
kabarcık köpürjik
kabartı ulgam
kabile tire
kabiliyet ukyp
kabin kaýuta
kablo kabel
kabuk gabyk
kabuk paçak
kaç gaç
kaçak gaçgak
kaçınılamaz alaçsyz
kaçınılmazlık alaçsyzlyk
kaçınma gaçalga
kaçınma sapalyk
kadeh kubok
kader nesibe
kader takdyr
kadın aýal
kadife welwet
kadro sostaw
kafa kelle
kafe kafe
kafes kapasa
kafeterya naharhana
kafile taýpa
kafir kapyr
kağıt kagyz
kahkaha gülki
kahraman gahryman
kahramanca gahrymanlarça
kahramanlık gahrymançylyk
kahvaltı ertirlik
kahve kofe
kahverengi goňur
kakao kakao
kalan galyndy
kalça but
kaldır galdyr
kaldırım trotuar
kalıcı hemişelik
kalın galyň
kalınlaştır galňat
kalınlık galyňlyk
kalıt miras
kalite hil
kalk tur
kalori kaloriýa
kalorik kaloriýaly
kalp ýürek
kambur küýki
kamera fotoapparat
kamış gamyş
kampanya kampaýa
kamyon gruzovik
kan gan
kanal kanal
kanat ganat
kandır alda
kanıt delil
kanıt subutnama
kanlı ganly
kansız gansyz
kanun kanun
kanunilik kanunlylyk
